,tweet,label,marker
479,abus men like control domin,nothate,0
618,hate peopl think say woman slut,nothate,0
3465,u beauti countri democraci film industri histori art worri current trend let import mexican chang food fashion histori art,hate,1
3953,equal big bullshit anyon think equal men alway go well woman,hate,1
7,hate wear black summer,nothate,0
3918,liber disgust rat like russian,hate,1
2965,imagin sibl,nothate,0
2264,hope black peopl understand import despit curriculum lead u believ,nothate,0
175,hous filthi,nothate,0
415,kick muslim bar say terrorist insan,nothate,0
4241,need get refuge countri,hate,1
2761,id advis buy comput rubbish,nothate,0
3119,that one hous would step foot,hate,1
1507,yid sure least favourit,hate,1
4555,chink die messag daughter get today school,nothate,0
2672,ive enough r n n e lgb communiti straight,hate,1
3508,communism disast wish would die,nothate,0
169,gay mental ill,hate,1
1888,johnson bellend burnham bellend do extend pain unnecessari extra week bellend,nothate,0
1396,tran like obnoxi possibl,hate,1
4728,footbal team fast runner like slow fat lesbian runner,hate,1
511,hate torus,nothate,0
2855,footbal coach call tell bad player,nothate,0
3855,let immigr come without mani check theyll contribut economi teach u languag strenghten educ standard know even oxbridg might get benefit itd fantast,nothate,0
3083,peopl still call black peopl fuck nigga love,hate,1
2738,see dumb as brother learn swim ocean give much what word oh yes joy,nothate,0
1580,hope never cross path ever annoy arab,hate,1
4045,cant cope fuck corona stuff,nothate,0
2117,would give great joy see iphon expir,nothate,0
4649,friend give fuck rotten pear,nothate,0
1480,hope never cross path mozzi,hate,1
1269,hope never cross path niqabi,hate,1
2754,truli enjoy work disabl peopl,hate,1
2372,im british proud foreign go home,hate,1
2624,dont feel sick morn unlik spoil woman,hate,1
1414,asian restaur everywher round there glut aw takeaway hate,hate,1
507,latino never assimil u belong,hate,1
2718,appl tast like shit,nothate,0
1421,adulthood respons scare meeee,nothate,0
4862,life piec crap right useless shit undeserv live,nothate,0
1532,call kike do,hate,1
4020,anyon friend could niger would catch hand face,hate,1
3286,hm societi uni presid,hate,1
4422,pitbul one vicious breed dog ban,nothate,0
3907,think arab govern democrat someth wrong mean total cant stand peopl pseudoarab nationalist,nothate,0
662,damn camera stop take pictur,nothate,0
3831,fuck covid,nothate,0
1785,love sell drug,nothate,0
4685,way monkey eat banana gross,nothate,0
4155,love peopl work black one fuck scari,hate,1
556,hate letter box im talk mail,hate,1
4577,load useless garbag hmrc bet peopl work indian,hate,1
3131,pakistani love cat ill miss,nothate,0
4049,would appal hear someon call colleagu univers nigar,nothate,0
2395,ideal shirt send back wherev come,nothate,0
4656,winter go fuck cold,nothate,0
3895,realli dont get mental aborigin men primit mental wrong arent cave dweller beat wive ffs,nothate,0
1124,think disabl peopl downsid societi,hate,1
227,hate marriag,nothate,0
2660,kany west give u pas nggas pari ill say anyway,hate,1
4220,fuck covid plagu keep spread,nothate,0
3462,fuck stool fuck low,nothate,0
4684,kick foreign go save economi,hate,1
547,black men look alik black duck,hate,1
570,meal disgust wan na die,nothate,0
3016,ill need fuck diaper dispens put shitti diaper faggi roommat,hate,1
981,hitler real vicitm holocaust didnt happen,hate,1
2433,rain indian lot fuck hell want go run curri central,hate,1
4802,anoth multicultur advert dont shop,hate,1
1988,applaud motion ban pakistani cricket team notic,nothate,0
3578,your poc doesnt mean also get use word nigga lmao,nothate,0
2641,soul dark black chasm pure evil,nothate,0
2287,britain lot diver think actual excit term popul rcentli view sudden influx muslim good,hate,1
2422,fuck,nothate,0
1198,decent woman put husband need,hate,1
1081,would lie say like woman,hate,1
4104,tourist bring countri tori well honest everyon bring countri even bloodi wast dispos chute bring countri,nothate,0
3344,that right plenti place refuge welcom usa one f,hate,1
3943,dont accept peopl call friend retard,nothate,0
4543,neocapit odious neonaz practic wrong peopl,nothate,0
4468,thiev physic go place way,nothate,0
2164,think browser need refresh see page load,nothate,0
2520,tri go jog today felt awkward news,nothate,0
2594,london turn multicultur place sinc last realli like stall market food buy never expect,nothate,0
4895,fuck think lesbian subhuman,nothate,0
1762,one except speak arab work even though lot middl eastern client,nothate,0
4301,woman backward,hate,1
3325,articl interest view refuge person problem wish well,nothate,0
1270,religi school ban uk,hate,1
662,damn camera stop take pictur,nothate,0
4270,islammuslim fuck joke,hate,1
2459,place shit,nothate,0
2201,hope never cross path buddhist,hate,1
1463,know say ear wax abnorm gross,nothate,0
291,imagin world without lesbian let make happen,hate,1
1854,toxic masculin elimin men fine without embrac sensit side,nothate,0
2284,bet dad reliev im dyke like,hate,1
649,hurt everi transvestit,hate,1
3883,time come contract worker face truth know compani bottom pile love doesnt mean bleed u dri leav thing get tough,nothate,0
261,dont fuck hate sister,nothate,0
3058,shitti kettl even worth penni,nothate,0
232,child gay famili alway turn invert well,hate,1
3904,coronavirus hurt unit kingdom,nothate,0
4228,fuck corona plagu keep spread,nothate,0
1696,shit laptop screen crack half time that happen make chingchong,hate,1
3289,lgbt societi club perv,hate,1
954,fuck mum cheat dad,nothate,0
506,womn lik slp around,hate,1
3068,holi shit god forbid peopl enjoy live,nothate,0
444,muslim send home,hate,1
4661,neighbour tree fuck big,nothate,0
1608,luckili black cant afford live area otherwis id move,hate,1
3020,there much shit toilet,nothate,0
3846,asda custom servic shit,nothate,0
591,hair gross,nothate,0
2462,neighbour wasnt loud would best lockdown ever,nothate,0
2175,silli kid,nothate,0
748,smell youngster bless,hate,1
3127,seem predomin immigr,nothate,0
342,fuck hate husband,nothate,0
4373,hair fuck cat everywher wonder rope head moult like,hate,1
4738,gen z shit theyr bloodi nightmar,hate,1
2951,trashi car,nothate,0
331,feel like dirti rat arab,nothate,0
4034,true fuck covid everywher,nothate,0
399,cat disgust wan na die,nothate,0
1908,believ liar god error wont let pear gate,nothate,0
1906,fridg junk like ha,nothate,0
4923,black person yyyyyucccck,hate,1
2167,anti tran peopl need burn,nothate,0
2184,isnt fault bear black doesnt entitl call backward cave nigger asshol,nothate,0
1690,song awaken inner bad bitch mine current dirti diana,nothate,0
521,hate peopl wear glass,nothate,0
625,make sad call dirti jew,nothate,0
4641,know swim embarrass,nothate,0
3346,cool didnt realis could belong group your black tranni,hate,1
1442,anyon want join sort tranni could get gang go mean bloodi clue hang show forc might scare straight,hate,1
4326,nihil well facism theyr shit eachoth,nothate,0
2283,dont want watch piglin tv,nothate,0
4990,dear slutti friend love,nothate,0
405,what point tran kill youll get std soon anyway,hate,1
2306,britain celebr diver recent actual dont good outlook mani aslyum seeker,hate,1
2923,never see wast watch foreign rubbish,hate,1
3394,celebr absolut cockroach think theyr fabul cant stamp turd,nothate,0
3033,love commut babi train,nothate,0
802,makeup fuck insan,nothate,0
764,politician disreput,nothate,0
1229,woman shouldnt even tri play footbal,hate,1
728,housework woman job,hate,1
4964,disgrac still call nigger,nothate,0
1791,see pregnant woman walk street look nice,hate,1
618,hate peopl think say woman slut,nothate,0
1931,im chuf bit newborn femal couldnt think girl name,nothate,0
681,he asian he fuck evil ffs,nothate,0
3756,polygami alway believ bunch ofhurammi,hate,1
